Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
vehicleAmeliaGyrocopterPlaceable,vehicles,item,,,"Amelia Earhart's Gyrocopter",,"Amelias Tragschrauber","O girocopter de Amelia Earhart","Amelia Earhart's gyrocopter","Il girocopio di Amelia Earhart","アメリア・アーハートのジャイロコプター","아멜리아 에어하트의 자이로콥터","Amelia Earhart's gyrocopter","O girocopter de Amelia Earhart","Гирокоптер Амелии Эрхарт","Amelia Earhart 'ın gyrocopter","Amelia Earhart的陀螺仪","阿米莉亞 - 埃爾哈特的陀螺儀","Amelia Earhart's gyrocopter"
vehicleAmeliaGyrocopter,vehicles,item,,,"Amelia Earhart's Gyrocopter",,"Amelias Tragschrauber","O girocopter de Amelia Earhart","Amelia Earhart's gyrocopter","Il girocopio di Amelia Earhart","アメリア・アーハートのジャイロコプター","아멜리아 에어하트의 자이로콥터","Amelia Earhart's gyrocopter","O girocopter de Amelia Earhart","Гирокоптер Амелии Эрхарт","Amelia Earhart 'ın gyrocopter","Amelia Earhart的陀螺仪","阿米莉亞 - 埃爾哈特的陀螺儀","Amelia Earhart's gyrocopter"
item_toc_amelia_schem_name,items,Item,,,"Amelia Earhart's Gyrocopter Schematic",,"Bauplan für Amelias Tragschrauber","Amelia Earhart gyrocopter schematic","Amelia Earhart gyrocopter schématique","Amelia Earhart gyrocopter schematic","アメリア・イアハート・ジャイロコプター図式","Amelia Earhart gyrocopter 도식","Amelia Earhart gyrocopter schematic","Amelia Earhart gyrocopter schematic","Амелия Эрхарт гирокоптер","Amelia Earhart gyrocopter şematik","Amelia Earhart 陀螺仪示意图","艾米莉亞 - 埃爾哈特陀螺儀原理","Amelia Earhart gyrocopter schematic"
item_toc_amelia_schem_desc,items,Item,,,"A hand-drawn schematic describing the creation of a gyrocopter using a super-charged engine and a refined lead acid battery.",,"Ein per Hand gezeichneter Bauplan für Amelias Tragschrauber. Angetrieben durch einen sehr leistungsstarken Motor und verfeinerter Blei-Säure-Batterie","Um esquema desenhado à mão descrevendo a criação de um girocopter usando um motor supercarregado e uma bateria de ácido chumbo refinado.","Un schéma tracé à la main décrivant la création d'un gyrocopteur à l'aide d'un moteur super-chargé et d'une batterie d'acide de plomb raffinée.","Una schematica disegnata a mano che descrive la creazione di un girocopio usando un motore sovralimentato e una raffinata batteria all'acido piombo'.","「超充電型エンジンと精錬鉛酸のバッテリーを使用したジャイロコプターの作成を説明する手書きの回路図」","초대전 엔진과 정제된 납산 배터리를 사용하여 자이로콥터의 생성을 설명하는 손으로 그린 그림입니다.","Ręcznie rysowany schemat opisujący stworzenie gyrocoptera z użyciem super naładowanego silnika i rafinowanego akumulatora kwasowego.","Um esquema desenhado à mão descrevendo a criação de um girocopter usando um motor supercarregado e uma bateria de ácido chumbo refinado.","Схематическое схематическое описание создания гирокоптера с использованием сверхзаряжаемой двигательной установки и очищенной свинцовой кислотной батареи'.","Süper yüklü bir motor ve rafine kurşun asit pil kullanarak bir jinekopter oluşturulmasını açıklayan el çizimi bir şematik.","一个手绘的示意图，描述了使用超级充电引擎和精铅酸电池创建陀螺仪。","一個手繪的示意圖，描述了使用超級增壓引擎和精製鉛酸電池的陀螺儀的創建。","Un esquemático dibujado a mano que describe la creación de un girocopter utilizando un motor súper cargado y una batería de ácido de plomo refinado'."
resourceRefinedLead,items,Item,,,"Refined Lead",,"Verfeinertes Blei","Liderança refinada","Plomb affiné","Piombo raffinato","リード・リード","세분화된 리드","ołów rafinowany","Liderança refinada","Изысканный свинец","Zarif kurşun","精炼铅","「重判鉛」","plomo refinado"
resourceRefinedLeadDesc,items,Item,,,"An ingredient in creating a refined lead acid battery for Amelia Earhart's gyrocopter.",,"Ein Bauteil für die verfeinerte Blei-Säure-Batterie einem Bauteil für Amelias Tragschrauber","Um ingrediente na criação de uma bateria de ácido de chumbo refinado para o girocopter de Amelia Earhart.","An ingrédient in creating a raffinée lead acid battery for Amelia Earhart's gyrocopter.","Un ingrediente nella creazione di una raffinata batteria all'acido piombo per il girocopio di Amelia Earhart'.","「アメリア・アーハートのジャイロコプター用に精製された鉛酸バッテリーを作る材料です。」","아멜리아 에어하트의 자이로콥터를 위한 정제된 납산 배터리를 만드는 재료입니다.","Składnik w tworzeniu dopracowanego akumulatora ołowiowego dla gyrocoptera Amelii Earhart.","Um ingrediente na criação de uma bateria de ácido de chumbo refinado para o girocopter de Amelia Earhart.","Ингредиент в создании рафинированной свинцовой кислоты для гироскопа Амелии Эрхарт'.","Amelia Earhart 'ın jirocopter için rafine asit pili yaratmada bir malzeme.","为 Amelia Earhart的陀螺仪制造精铅酸电池的成分","為 Amelia Earhart 的陀螺儀創造一個精煉鉛酸電池的成分。","Un ingrediente en la creación de una batería de ácido de plomo refinado para el girocopter de Amelia Earhart'."
carAmeliaBattery,items,Item,,,"Refined Lead Acid Battery",,"Verfeinerte Blei-Säure-Batterie","Bateria de ácido de chumbo refinado","Batterie de plomb-acide affiné","Batteria acido piombo raffinato","鉛酸バッテリーの詳細化","납축전지","Rafinowany akumulator kwasowo-ołowiowy","Bateria de ácido de chumbo refinado","Очищенные свинцовые кислотные батареи","Saf kurşun asit pili","精制铅酸电池","Re罰金鉛酸電池","Batería de plomo refinado"
carAmeliaBatteryDesc,items,Item,,,"A lead acid battery built using highly refined Lead. A potent mixture.",,"Eine Blei-Säure-Batterie hergestellt aus verfeinertem Blei","Uma bateria de ácido chumbo construída usando Lead altamente refinado. Uma mistura potente.","A lead acid battery built using highly raffiné Lead. Un mélange puissant.","Una batteria all'acido piombo costruita usando Lead altamente raffinato. Una miscela potentata '.","「高度に洗練されたリードを使用して作られた鉛酸バッテリー。 強力な混合物","납축전지는 고도로 정제된 납을 사용하여 만들어졌습니다. 강력한 혼합물입니다.","Akumulator ołowiowy zbudowany z wykorzystaniem wysoko wyrafinowanego ołowiu. Potężna mieszanka.","Uma bateria de ácido chumbo construída usando Lead altamente refinado. Uma mistura potente.","Свинцовая кислотная батарея, построенная с использованием высокоочищенного Мощная смесь.","Son derece rafine edilmiş kurşun kullanılarak yapılmış bir kurşun asit bataryasına. Güçlü bir karışım.","用高度精炼铅建造的铅酸电池。 一种烈性的混合物。","使用高精煉鉛建造的鉛酸電池。 強力的混合物。」","Una batería de plomo de ácido construido usando plomo altamente refinado. Una mezcla potente."
smallAmeliaEngine,items,Item,,,"Super-charged Engine",,"Super-Motor","Motor super cobrado","Moteur super-chargé","motore Super - carica","スーパー・チャージ・エンジン","슈퍼 충전 엔진","Super-naładowany silnik","Motor super cobrado","Сверхзаряжающий двигатель","Süper yüklü motor","超级充电引擎","超級增壓引擎","Motor recargado"
smallAmeliaEngineDesc,items,Item,,,"An ingredient in creating Amelia Earhart's gyrocopter.",,"Ein Bauteil für Amelias Tragschrauber","Um ingrediente ao criar o girocopter de Amelia Earhart.","An ingrédient in creating Amelia Earhart's gyrocopter'.","Un ingrediente nel creare il girocopio di Amelia Earhart'.","「アメリア・アーハートのジャイロコプターを作るための材料だよ」","아멜리아 에어하트의 자이로콥터를 만드는 재료.","Składnik w tworzeniu żyroskopu Amelii Earhart.","Um ingrediente ao criar o girocopter de Amelia Earhart.","Ингредиент в создании гирокоптера Амелии Эрхарт'.","Amelia Earhart 'ın jirocopter 'ı yaratmada bir malzeme.","创造 Amelia Earhart 的陀螺仪的成分","創造艾米莉亞 - 埃爾哈特的陀螺儀的成分","Un ingrediente en la creación del girocopter de Amelia Earhart'."
