Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
vetquest_toc_blackb_name,Quest,Quest Info,,,"Quest to obtain Black Bart's treasure map",,"Quest zum Erhalt von Black Barts Schatz-Karte","Quest para obter o mapa do tesouro de Black Bart","Quest to obtiendra Black Bart's trésor map","Quest per ottenere la mappa del tesoro di Black Bart","ブラック・バートの宝の地図を取得するためのクエスト","흑점의 보물지도를 얻기 위한 퀘스트","Quest, aby uzyskać mapę skarbu Czarna Bart","Quest para obter o mapa do tesouro de Black Bart","Квест, чтобы получить карту сокровищ Чёрного Барта","Kara Bart 'ın hazine haritasını elde etmek için arayış","寻找黑巴特的宝藏图","「尋找黑色 Bart的寶藏圖」","Quest para obtener el mapa del tesoro de Black Bart"
vetquest_toc_blackb_subtitle,Quest,Quest Info,,,"Craft the +Writ Of Black Bart",,"Stelle dir +Schrift von Black Bart her","Craft the + Writ Of Black Bart","Craft the + Writ Of Black Bart","Craft the + Writ Of Black Bart","ブラック・バートの「 +Writ 」をクラフトします。","공예의 이상,' '검은 빵의 개","Craft the + Writ of Black Bart","Craft the + Writ Of Black Bart","Ремесло' + Writ Of Black Bart","Kara Bart 'ın + Writ 'i Craft","黑巴特的精神","「 Craft the +Writ Of Black Bart」","Craft the + Writ Of Black Bart"
vetquest_toc_blackb_description,Quest,Quest Info,,,"Gather 600 iron + 1 iron shovel + 1 iron pickaxe to receive a treasure map.",,"Sammle 600 Eisen - 1 Eisen Schaufel - 1 Eisen Spitzhake um die Schatz-Karte zu erhalten","Juntar 600 ferro + 1 pá de ferro + 1 picareta de ferro para receber um mapa do tesouro.","Rassembler 600 fer + 1 pelle de fer + 1 pioche de fer pour recevoir une carte du trésor.","Raccogli 600 ferro + 1 pale di ferro + 1 di ferro pickaxe per ricevere una mappa del tesoro'.","宝の地図を得るために 600 番アイアン + 1 アイアン・ショベル + 1 鉄のピクシャを収集します。","600번 아이언+1번 아이언 셔블+1번 아이언 픽솔은 보물지도를 받습니다.","Zebrać 600 żelaza + 1 żelazo łopata + 1 żelazny pickaxe otrzymać mapę skarbów.","Juntar 600 ferro + 1 pá de ferro + 1 picareta de ferro para receber um mapa do tesouro.","Собрать 600 утюг 1 железного лопата + 1 утюг, чтобы получить карту сокровищ'.","600 adet demir + 1 demir küreği + 1 demir pikkaxe ' i hazine haritası almak için toplayın.","收集 600 铁 + 1 铁铲 + 1 个铁镐来接收宝藏图 ' 。","收集 600 鐵 + 1 鐵鏟 + 1 鐵鎬，收藏寶圖。","Reunir 600 hierro + 1 pala de hierro + 1 piquete de hierro para recibir un mapa del tesoro'."
vetquest_toc_blackb_offer,Quest,Quest Info,,,"The trader has an old weathered parchment tube that is claimed to be a map to the last great haul of the infamous stage-coach robber, Black Bart. It is offered to you in exchange for some resources and common digging tools to help the community procure more resources. Provide the trader with 600 iron + 1 iron shovel + 1 iron pickaxe.",,"Der Händler hat eine alte verwitterte Schatz-Karte vom berüchtigten Black Bart. Gegen 600 Eisen - eine Eisen-Schaufel und eine Eisen-Spitzhake ist er bereit sie dir zu überlassen","O comerciante tem um antigo tubo de pergaminho de desgaste que se afirma como um mapa para a última grande reformulação do infame-treinador robber, de Black Bart. É oferecida a você em troca de alguns recursos e ferramentas de cavas comuns para ajudar a comunidade a obter mais recursos. Forneça o comerciante com 600 de ferro + 1 pá de ferro + 1 picareta de ferro '.","Le négociant a un vieux tube de parchemin à plumes qui est prétendu être une carte de la dernière grande distance du célèbre voleur-coach de la scène, Black Bart. Il vous est offert en échange de ressources et d'outils d'excavation communs pour aider la collectivité à obtenir plus de ressources. Fournissez à l'opérateur 600 fer + 1 pelle de fer + 1 pioche de fer.","Il commerciante ha un vecchio tubo di pergamena indossato che si pretende di essere una mappa dell'ultimo grande bottino del famigerante rapinatore di palcoscenico, Black Bart. Ti viene offerto in cambio di alcune risorse e di strumenti di scavatura comuni per aiutare la comunità a procurarsi più risorse. Fornire al commerciante con 600 ferro + 1 di stiva di ferro + 1 pickassi di ferro '.","「このトレーダーは、古い風化用のパルチメント管を持っており、これは、悪名高い舞台監督のブラック・バートの最後の大きな引っ張るところへの地図であると主張されている。 コミュニティーがより多くのリソースを調達するのを支援するために、いくつかのリソースと共通のダイジング・ツールを交換することができます。 「 600 鉄 + 1 アイアン・ショベル + 1 アイアン・ピックスアクス」をトレーダーに提供します。","이 상인은 악명 높은 스테이트코치 강도, 검은 바트의 마지막 장거리 지도에 해당하는 지도가 되었다고 주장하는 낡은 파치먼트 튜브를 가지고 있습니다. 커뮤니티가 더 많은 자원을 조달하는 데 도움이 되도록 일부 자원과 공통적인 발굴 도구를 교환하여 제공됩니다. 600번 아이언+1번 아이언 쇼파+1번 아이언 픽싱을 제공합니다.","Przedsiębiorca ma starą, miażdżycową rurkę pergaminową, która twierdzi, że jest mapą do ostatniego wielkiego zaciskania niesławny sceniczny-trener Robber, Black Bart. Jest on oferowany w zamian za niektóre zasoby i wspólne narzędzia do kopania, aby pomóc społeczności pozyskać więcej zasobów. Udostępnij handlowiec z 600 żelaza + 1 żelazo łopata + 1 żelazny pickaxe.","O comerciante tem um antigo tubo de pergaminho de desgaste que se afirma como um mapa para a última grande reformulação do infame-treinador robber, de Black Bart. É oferecida a você em troca de alguns recursos e ferramentas de cavas comuns para ajudar a comunidade a obter mais recursos. Forneça o comerciante com 600 de ferro + 1 pá de ferro + 1 picareta de ferro '.","У трейдера есть старая увлажнятая пергаментная трубка, которая претендует на то, чтобы быть картой в последний великий улов скандально известного сцена-тренера-грабителя, Блэка Барта. Вам предлагается в обмен на некоторые ресурсы и общие инструменты для разработки, чтобы помочь сообществу получить больше ресурсов. Предоставл трейдера 600 утюг + 1 железный лопат + 1 утюг.","Tüccar, ünlü sahne koç soyguncusu Kara Bart 'ın son büyük vücütünün haritası olduğu iddia edilen eski bir dokuma parşömen tüpü var. Bir miktar kaynak ve ortak kazma araçları karşılığında, topluluğun daha fazla kaynak tedarik etmesini sağlamak için size sunulmaktadır. 600 demir + 1 demir kürekle + 1 demir pikkaxe ile tüccara verin ' dedi.","这位交易员有一只老风化的羊皮纸管，号称是着名舞台上最后一大拉的地图 --教练强盗黑巴特( Black Bart) 。 为您提供了一些资源和常用挖掘工具，以帮助社区获取更多资源。 为贸易商提供 600 铁 + 1 铁铲 + 1 铁镐。","「交易員有一個古老的風化羊皮管，聲稱是一張地圖，是最后一條最臭名昭著的舞臺 - 教練強盜、黑巴特的地圖。 為您提供一些資源和常用的挖掘工具，以協助社群取得更多資源，提供給您。 為貿易商提供 600 鐵 + 1 鐵鏟 + 1 鐵鎬。」","El comerciante tiene un viejo tubo de pergamino capeado que se dice que es un mapa del último gran botín del infame ladrón de escenarios, Black Bart. Se le ofrece a cambio de algunos recursos y herramientas comunes de excavación para ayudar a la comunidad a adquirir más recursos. Proveer al comerciante con 600 hierro + 1 pala de hierro + 1 piquete de hierro."
vetquest_toc_blackb_statement,Quest,Quest Info,,,"Gather 600 iron + 1 iron shovel + 1 iron pickaxe for your community and receive the map to Black Bart's treasure.",,"Sammle 600 Eisen - 1 Eisen Schaufel - 1 Eisen Spitzhake um die Schatz-Karte zu erhalten","Reúna 600 ferro + 1 pá de ferro + 1 picareta de ferro para sua comunidade e receba o mapa para o tesouro de Black Bart.","Rassembler 600 fer + 1 pelle de fer + 1 pioche de fer pour votre communauté et recevoir la carte du trésor de Black Bart.","Raccogli 600 ferro + 1 di stiva di ferro + 1 di ferro pickaxe per la tua comunità e ricevi la mappa al tesoro di Black Bart'.","「 600 番アイアンアイアン + 1 アイアン・ショベル + 1 アイアン・ピアクシを共同体に集め、ブラック・バートの宝に地図を提供します。」","600번 아이언+1번 아이언 셔블+1번 아이언 픽솔: 커뮤니티를 위해서, 블랙 바트의 보물에 대한 지도를 받습니다.","Zebrać 600 żelaza + 1 żelazo łopata + 1 żelazny pickaxe dla społeczności i otrzymać mapę do skarbu Czarnego Bart.","Reúna 600 ferro + 1 pá de ferro + 1 picareta de ferro para sua comunidade e receba o mapa para o tesouro de Black Bart.","Соберите 600 утюг + 1 железный лопат + 1 утюг для вашего сообщества и получите карту к сокровищу Блэка Барта'.","Topluluğunuz için 600 demir + 1 demir küreği + 1 demir pikkaxe toplayın ve haritayı Kara Bart hazinesi ' ne alın.","为您的社区收集 600 个铁 + 1 铁铲 + 1 个铁镐，并收到地图给黑巴特的宝藏 ' 。","「為您的社區收集 600 鐵 + 1 鐵鏟 + 1 鐵鎬，並接收到黑巴特寶物的地圖。」","Reúna 600 plancha + 1 pala de hierro + 1 escabeche de hierro para su comunidad y reciba el mapa del tesoro de Black Bart'."
vetquest_toc_blackb_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Black Bart's Treasure",,"White River - Werkzeuge der Gemeinschaft - Quest für Black Barts Schatz-Karte","Rio Branco-ferramentas de cidadania, Quest para o tesouro de Bart Black","White River-outils de citoyenneté, Quest for Black Bart's trésor","White River - strumenti di cittadinanza, Quest for Black Bart's treasure","「ホワイト・リバー・ツール、市民権のツール、ブラック・バートの宝のためのクエスト」","시민권의 화이트 강 도구, 검은 바트의 보물을 위한 퀘스트","Biała Rzeka-narzędzia obywatelskie, poszukiwanie skarbu Czarnego Bart","Rio Branco-ferramentas de cidadania, Quest para o tesouro de Bart Black","Белая река-инструменты гражданства, Квест для сокровищ Чёрного Барта","Beyaz Nehir-vatandaşlık araçları, Kara Bart 'ın hazinesi için Görev","《白河公民权》，《寻找黑巴特宝藏》","「白河 - 具公民身份的工具，尋找黑巴特的寶藏」","White River-tools of Citizenship, Quest for Black Bart's treasure"
vetquestdialog_toc_blackb,Quest,Dialogs,,,"Obtain Black Bart's treasure map by gathering 600 iron + 1 iron shovel + 1 iron pickaxe",,"Erhalte Black Barts Schatz Karte für das Sammeln der Ressourcen und Werkzeuge","Obter o mapa do tesouro de Bart preto ao reunir 600 ferro + 1 pá de ferro + 1 picareta de ferro","Obtenir la carte du trésor de Black Bart en rassemblant 600 fer + 1 pelle de fer + 1 pioche de fer","Ottenere Black's treasure map raccogliendo 600 ferro + 1 shovel di ferro + 1 pickaxe di ferro","「 600 番アイアン・ショベル + 1 アイロン・ピックスアクスを収集し、ブラック・バートの宝庫地図を入手する」","600개의 철+1철 삽+1철 픽쳐를 수집하여 '블랙 바트의 보물지도를 얻으십시오.","Uzyskaj mapę skarbu Czarnego Bart, zbierając 600 żelaza + 1 żelazna łopata + 1 żelazny pickaxe","Obter o mapa do tesouro de Bart preto ao reunir 600 ferro + 1 pá de ferro + 1 picareta de ferro","Получите карту сокровищ Чёрного Барта, собрав 600 железа + 1 железный лопат + 1 железный пикап","600 demir + 1 demir küreği + 1 demir pikkaxe toplayarak Siyah Bart 'ın hazine haritasını elde edin","通过收集 600 铁 + 1 铁铲 + 1 铁镐来获取黑巴特的宝藏图","「透過收集 600 鐵 + 1 鐵鏟 + 1 鐵鎬來取得黑色巴特的寶物圖」","Obtener el mapa del tesoro de Black Bart reuniendo 600 hierro + 1 pala de hierro + 1 piquete de hierro"
vetquestreward_toc_blackb_name,Quest,Quest Info,,,"Reward of Black Bart's Treasure Map",,"Belohnung von Black Barts Schatzkarte","Recompensa do mapa do tesouro de Bart Black","Reward of Black Bart's trésor map","Ricompensa della mappa del tesoro di Black Bart","ブラック・バートの宝の地図の復元","블랙 바트의 보물지도를 리워드하다","Nagroda skarbu Czarnego Bart","Recompensa do mapa do tesouro de Bart Black","Награда сокровищной карты Блэка Барта","Kara Bart 'ın hazine haritasının ödülü","悬赏黑巴特的宝藏图","「黑巴特的寶庫地圖」","Recompensa del mapa del tesoro de Black Bart"
vetquestreward_toc_blackb_subtitle,Quest,Quest Info,,,"Reward of Black Bart's Treasure Map",,"Belohnung von Black Barts Schatzkarte","Recompensa do mapa do tesouro de Bart Black","Reward of Black Bart's trésor map","Ricompensa della mappa del tesoro di Black Bart","ブラック・バートの宝の地図の復元","블랙 바트의 보물지도를 리워드하다","Nagroda skarbu Czarnego Bart","Recompensa do mapa do tesouro de Bart Black","Награда сокровищной карты Блэка Барта","Kara Bart 'ın hazine haritasının ödülü","悬赏黑巴特的宝藏图","「黑巴特的寶庫地圖」","Recompensa del mapa del tesoro de Black Bart"
vetquestreward_toc_blackb_description,Quest,Quest Info,,,"Return to the trader to receive your treasure map signed by Black Bart himself.",,"Gehe zurück zum Händler und erhalte die von Black Barts persönlich unterschrieben Schatz-Karte","Retorne ao comerciante para receber o seu mapa do tesouro assinado pelo próprio Black Bart.","Revenez au trader pour recevoir votre carte de trésor signée par Black Bart lui-même.","Torna al commerciante per ricevere la tua mappa del tesoro firmata dallo stesso Black Bart'.","「ブラック・バート自身が署名した宝物地図を受け取るために、トレーダーに戻ってください。」","거래자에게 돌아가서 검은 바트가 직접 서명한 보물지도를 받으십시오.","Powrót do przedsiębiorcy, aby otrzymać mapę skarbu podpisaną przez samego Black Bart.","Retorne ao comerciante para receber o seu mapa do tesouro assinado pelo próprio Black Bart.","Вернуться к торговцу, чтобы получить вашу карту сокровищ, подписанную самим Блэком Бартом'.","Kara Bart 'ın imzaladığı hazine haritanı almak için tacirlere geri dönün.","回到商人那里接受黑巴特自己签署的宝藏地图","「回到交易員，接收由黑巴特本人簽名的寶物圖。」","Volver al comerciante para recibir su mapa del tesoro firmado por el propio Black Bart."
