Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_toc_desch_name,Quest,Quest Info,,,Quest for Roland Deschain's Revolver,,,,,,,,,,,,,,
quest_toc_desch_subtitle,Quest,Quest Info,,,Craft the +Writ Of Deschain,,,,,,,,,,,,,,
quest_toc_desch_description,Quest,Quest Info,,,"Craft a Writ of Deschain by collecting all eight books of the Dark Tower Series, then craft 18 wooden doors, and 1 vault door.",,,,,,,,,,,,,,
quest_toc_desch_offer,Quest,Quest Info,,,"Hile, Gunslinger. We seek aid and succor. Find the eight Dark Tower books and craft doors for the nineteen levels of the Tower. Give these to the Trader and he will bequeth you the Revolver of Roland Deschain.",,,,,,,,,,,,,,
quest_toc_desch_statement,Quest,Quest Info,,,Find all 10 Dark Tower Books, Craft 19 Doors, and receive a Deschain's Revolver,,,,,,,,,,,,,,
quest_toc_desch_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Deschain's Revolver",,,,,,,,,,,,,,
questdialog_toc_desch,Quest,Dialogs,,,Obtain the Legendary Deschain's Revolver by gathering all 10 books, then Crafting 19 Doors,,,,,,,,,,,,,,
questreward_toc_desch_name,Quest,Quest Info,,,Reward of Deschain's Revolver,,,,,,,,,,,,,,
questreward_toc_desch_subtitle,Quest,Quest Info,,,Reward of Deschain's Revolver,,,,,,,,,,,,,,
questreward_toc_desch_description,Quest,Quest Info,,,"Return to the trader to collect your legendary revolver.",,,,,,,,,,,,,,
questreward_toc_desch_offer,Quest,Quest Info,,,"I do not kill with my gun; He who kills with his gun has forgotten the face of his father. I kill with my heart.\n\nReturn to the Trader to take up the Gun of Eld.",,,,,,,,,,,,,,
questreward_toc_desch_statement,Quest,Quest Info,,,Help your community and receive a Legendary Deschain's Revolver,,,,,,,,,,,,,,
questrewarddialog_toc_desch,Quest,Dialogs,,,Return to the Trader to receive your Legendary Deschain's Revolver,,,,,,,,,,,,,,
questitem_toc_desch_name,items,Quest - Note,,,+Deschain's Revolver Quest,,,,,,,,,,,,,,
questitem_toc_desch_description,items,Quest - Note,,,"A quest to obtain the revolver used by the famous gunslinger Roland Deschain. Legend has it that this revolver was crafted from the metal of Excalibur. Collect all 10 Dark Tower Books, then craft 19 doors.",,,,,,,,,,,,,,
questwrit_toc_desch_name,items,Quest - Note,,,+Writ Of Deschain,,,,,,,,,,,,,,
questwrit_toc_desch_description,items,Quest - Note,,,"Proof that you've collected all 10 Dark Tower Book and are ready to take up the Gun of Eld.",,,,,,,,,,,,,,
itemreward_toc_desch_name,items,Item,,,"Roland Deschain's Revolver",,,,,,,,,,,,,,
itemreward_toc_desch_description,items,Item,,,"A legendary revolver crafted from the metal of Excalibur that imbues the gunslinger with inhuman speed and accuracy.",,,,,,,,,,,,,,
crafteditem_toc_45lcsilver_name,items,Item,,,45LC Silver Bullet of Gilead,,,,,,,,,,,,,,
crafteditem_toc_45lcsilver_desc,items,Item,,,"45LC ammo created from Silver to be used with Deschain's Revolver",,,,,,,,,,,,,,
crafteditem_toc_45lcgold_name,items,Item,,,45LC Gold Bullet of Gilead,,,,,,,,,,,,,,
crafteditem_toc_45lcgold_desc,items,Item,,,"45LC ammo created from Gold to be used with Deschain's Revolver",,,,,,,,,,,,,,
itemreward_toc_deschhat_name,items,Item,,,Deschain's Cowboy Hat,,,,,,,,,,,,,,
