Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_toc_earrows_name,Quest,Quest Info,,,"Collect raw food for a settlement feast",,,,,,,,,,,,,,
quest_toc_earrows_subtitle,Quest,Quest Info,,,"Collect food for Everdeen's arrows",,,,,,,,,,,,,,
quest_toc_earrows_desc,Quest,Quest Info,,,"Gather 7 corn + 15 blueberry + 3 baked potato to obtain a bundle of Everdeen's arrows.",,,,,,,,,,,,,,
quest_toc_earrows_offer,Quest,Quest Info,,,"The settlement is trying to put together enough raw food to hold a feast for everyone to enjoy. They are willing to offer you a pack of arrows of Everdeen in exchange for your help. These arrows are famed to travel fast and true. Gather 7 corn + 15 blueberry + 3 baked potato",,,,,,,,,,,,,,
quest_toc_earrows_statement,Quest,Quest Info,,,"Help your community put together a feast and receive a bundle of Everdeen's arrows.",,,,,,,,,,,,,,
quest_toc_earrows_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Everdeen's Arrows",,,,,,,,,,,,,,
questdialog_toc_earrows,Quest,Dialogs,,,"Obtain a bundle of Everdeen's arrows by gathering 7 corn + 15 blueberries + 3 baked potato",,,,,,,,,,,,,,
questreward_toc_earrows_name,Quest,Quest Info,,,"Reward of Everdeen's Arrows",,,,,,,,,,,,,,
questreward_toc_earrows_subtitle,Quest,Quest Info,,,"Reward of Everdeen's Arrows",,,,,,,,,,,,,,
questreward_toc_earrows_desc,Quest,Quest Info,,,"Return to the trader to collect your bundle of Everdeen's arrows, and some community stew!",,,,,,,,,,,,,,
questreward_toc_earrows_offer,Quest,Quest Info,,,"Thanks for your help! Collect your stew and arrows from the trader.",,,,,,,,,,,,,,
questreward_toc_earrows_statement,Quest,Quest Info,,,"Return to the trader to receive your bundle of Everdeen's arrows and some stew.",,,,,,,,,,,,,,
questrewarddialog_toc_earrows,Quest,Dialogs,,,"Return to the trader to receive your expertly-crafted Everdeen's arrows.",,,,,,,,,,,,,,
quest_toc_ebolts_name,Quest,Quest Info,,,"Collect Lots of food for a settlement feast",,,,,,,,,,,,,,
quest_toc_ebolts_subtitle,Quest,Quest Info,,,"Collect food for Everdeen's bolts",,,,,,,,,,,,,,
quest_toc_ebolts_desc,Quest,Quest Info,,,"Gather 7 corn + 3 mushroom + 3 potatoes + 3 baked potatoes to obtain a bundle of Everdeen's bolts.",,,,,,,,,,,,,,
quest_toc_ebolts_offer,Quest,Quest Info,,,"The settlement is trying to put together enough raw food to hold a feast for everyone to enjoy. They are willing to offer you a pack of Everdeen's bolts in exchange for your help. These crossbow bolts are famed to travel fast and true. Gather 7 corn + 3 mushrooms + 3 baked potatoes",,,,,,,,,,,,,,
quest_toc_ebolts_statement,Quest,Quest Info,,,"Help your community put together a feast and receive a bundle of Everdeen's bolts.",,,,,,,,,,,,,,
quest_toc_ebolts_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Everdeen's Bolts",,,,,,,,,,,,,,
questdialog_toc_ebolts,Quest,Dialogs,,,"Obtain a bundle of Everdeen's bolts by gathering 7 corn + 3 mushroom + 3 baked potatoes",,,,,,,,,,,,,,
questreward_toc_ebolts_name,Quest,Quest Info,,,"Reward of Everdeen's bolts",,,,,,,,,,,,,,
questreward_toc_ebolts_subtitle,Quest,Quest Info,,,"Reward of Everdeen's bolts",,,,,,,,,,,,,,
questreward_toc_ebolts_desc,Quest,Quest Info,,,"Return to the trader to collect your bundle of Everdeen's bolts and some stew!",,,,,,,,,,,,,,
questreward_toc_ebolts_offer,Quest,Quest Info,,,"Thanks for your help! Collect your stew and bolts from the trader.",,,,,,,,,,,,,,
questreward_toc_ebolts_statement,Quest,Quest Info,,,"Return to the trader to receive your expertly-crafted Everdeen's bolts.",,,,,,,,,,,,,,
questrewarddialog_toc_ebolts,Quest,Dialogs,,,"Return to the trader to receive your Everdeen's bolts.",,,,,,,,,,,,,,
questitem_toc_earrows_name,items,Quest - Note,,,"+Everdeen's Arrows Quest",,,,,,,,,,,,,,
questitem_toc_earrows_desc,items,Quest - Note,,,"A quest to help feed the White River community by gathering 7 corn + 15 blueberries + 3 baked potato. Receive a bundle of Everdeen's arrows as a thank you.",,,,,,,,,,,,,,
