Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_toc_gupta_name,Quest,Quest Info,,,"Collect Aloe for Gupta's Bandages",,"Sammle aloe für Guptas Verbände","Coletar aloe para curativos de Gupta","Recueillir de l'aloès pour les bandages de Gupta","Raccogliere aloe per i banditi di Gupta","ガプタの包帯のためにアロエを集める","거타의 붕대를 위한 알로에 수집","Zbieranie aloesu do bandaży Gupta","Coletar aloe para curativos de Gupta","Собирать алоэ для бинтов Гупты","Gupta 'nın bandajları için aloe topla","为古普塔的绷带收集芦荟","為古普塔的繃帶收集蘆薈","Recoge aloe for Gupta's bandages"
quest_toc_gupta_subtitle,Quest,Quest Info,,,"Collect Aloe for Gupta's Bandages",,"Sammle aloe für Guptas Verbände","Coletar aloe para curativos de Gupta","Recueillir de l'aloès pour les bandages de Gupta","Raccogliere aloe per i banditi di Gupta","ガプタの包帯のためにアロエを集める","거타의 붕대를 위한 알로에 수집","Zbieranie aloesu do bandaży Gupta","Coletar aloe para curativos de Gupta","Собирать алоэ для бинтов Гупты","Gupta 'nın bandajları için aloe topla","为古普塔的绷带收集芦荟","為古普塔的繃帶收集蘆薈","Recoge aloe for Gupta's bandages"
quest_toc_gupta_description,Quest,Quest Info,,,"Gather 10 aloe leaves + 10 cloth fragments + 10 bandages to receive a stack of medical bandages.",,"Sammle 10 aloe Blätter 10 Stofffetzen und 10 Verbände um ein Bündel Medizinischer Verbände zu erhalten","Reúnem 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos para receber uma pilha de curativos médicos.","Rassembler 10 feuilles d'aloès + 10 fragments de tissu + 10 bandages pour recevoir une pile de bandages médicaux.","Raccogli 10 foglie di aloe + 10 frammenti di tessuto + 10 banditi per ricevere una pila di fasce mediche'.","10 個のアローの葉 + 10 個の布の破片 + 10 個の包帯を、医療包帯の積み重ねを受けるために使用する。","10개의 천 조각+10개의 천 조각+10개의 밴드를 모아서 의료 붕대 더미를 받을 수 있습니다.","Zebrać 10 liści aloesu + 10 fragmentów tkaniny + 10 bandaży, aby otrzymać stos opatrunków medycznych.","Reúnem 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos para receber uma pilha de curativos médicos.","Собрать 10 алоэ листьев + 10 фрагментов + 10 повязки, чтобы получить стек медицинских бинтов'.","10 adet aloe yaprağı topla + 10 bez parça + 10 bandaj bir yığın tıbbi bandaj almak için.","收集 10 片芦荟叶 + 10 片布片 + 10 个绷带，以接收一叠医用绷带 ' 。","「收集 10 個蘆薈葉 + 10 個布片碎片 + 10 個繃帶，接收一疊醫用繃帶。」","Reunir 10 hojas de aloe + 10 fragmentos de tela + 10 vendas para recibir una pila de vendajes médicos'."
quest_toc_gupta_offer,Quest,Quest Info,,,"The trader mentioned a settlement doctor in need of ingredients to make first aid bandages, but he is so busy treating the injured he doesn't have time to collect them himself. The trader is willing to offer you first aid bandages in exchange for your assistance gathering supples for the doctor. Gather 10 aloe leaves + 10 cloth fragments + 10 bandages.",,"Der Händler erwähnte einen Siedlungsarzt, der Zutaten benötigt, um Erste-Hilfe-Bandagen zu machen, aber er ist so beschäftigt, die Verletzten zu behandeln, er hat keine Zeit, sie selbst zu sammeln. Der Gewerbetreibende ist bereit, Ihnen erste Hilfsbandagen im Tausch für Ihre Unterstützung zu bieten, die für den Arzt geschmeidig werden. Sammeln Sie 10 Aloe Blätter + 10 Tuchfragmente + 10 Bandagen.","O comerciante mencionou um médico de assentamento precisando de ingredientes para fazer curativos de primeiros socorros, mas ele está tão ocupado tratando os feridos que não tem tempo para recolhê-los a si mesmo. O comerciante está disposto a oferecer a você primeiros curativos em troca de sua assistência recolhendo suplas para o médico. Junte 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos.","Le trader a mentionné un médecin traitant dans le besoin d'ingrédients pour faire des bandages de premiers soins, mais il est tellement occupé à traiter les blessés qu'il n'a pas le temps de les récupérer lui-même. Le commerçant est prêt à vous offrir des bandages de premiers soins en échange de votre aide pour la collecte de produits pour le médecin. Cuir 10 feuilles d'aloès + 10 fragments de tissu + 10 bandages.","Il commerciante ha menzionato un medico di insediamento bisogneso di ingredienti per fare dei banditi di primo soccorso, ma è così impegnato a curare i feriti che non ha tempo per raccoglierli. Il commerciante è disposto ad offrirti dei primi banditi di aiuto in cambio della tua assistenza raccogliendo suppli per il medico. Raccogli 10 foglie di aloe + 10 frammenti di tessuto + 10 fasce '.","「トレーダーは、ファースト・エイドの包帯を作るために材料を必要とする開拓医について言及したが、負傷者を治療するのに時間がないため、自分で取り立てる時間がない。 このトレーダーは、お手伝いをするためにまず、お医者さんのためのサプリメントと引き換えに包帯を提供する用意がある。 10 個のアローの葉 + 10 個の布フラグメント + 10 個の包帯を収集します。","한 트레이더는 응급 처치용 붕대를 만들기 위해 재료를 필요로 하는 정착의사를 언급했지만, 그는 너무 바빠서 부상자들을 치료할 시간이 없다고 말했다. 그 무역업자는 의사의 도움을 받기 위해 당신의 도움을 받을 수 있는 대가로 제1의 지원 붕대를 제공할 의향이 있습니다. 알로에 10개의 천 조각+10개의 천 조각+10개의 조각들을 모아라.","Handlowiec wspomniał lekarza ugodowego w potrzebie składników, aby pierwsza pomoc bandaże, ale on jest tak zajęty traktowania rannych nie ma czasu, aby je zebrać. Przedsiębiorca jest gotów zaoferować Państwu pierwsze bandaże pomocowe w zamian za pomoc zbierając sutki dla lekarza. Zbierz 10 liści aloesu + 10 fragmentów tkaniny + 10 bandaży.","O comerciante mencionou um médico de assentamento precisando de ingredientes para fazer curativos de primeiros socorros, mas ele está tão ocupado tratando os feridos que não tem tempo para recolhê-los a si mesmo. O comerciante está disposto a oferecer a você primeiros curativos em troca de sua assistência recolhendo suplas para o médico. Junte 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos.","Трейдер сказал, что врач-поселок нуждается в ингредиентах для оказания первой помощи, но он настолько занят лечением раненых, что у него нет времени на их сбор. Трейдер готов предложить вам первую помощь с повязкой в обмен на то, что ваша помощь может помочь доктору. Соберите 10 алоэ листьев + 10 фрагментов ткани + 10 повязки '.","tüccar ilk yardım bandajlarını yapmak için gerekli malzemelere ihtiyacı olan bir yerleşim doktorundan bahsetti, ama yaralıları tedavi etmekle o kadar meşguldür ki, onları kendi toplayacak vakti yoktur. Tüccar size ilk yardım bandajlarını sunmaya istekli. Doktorla ilgili yardım toplama konusunda yardım almak için. 10 adet aloe yaprağı + 10 adet bez parçası + 10 bandaj alın.","该交易员提到有一名定居医生需要成分来做急救绷带，但他忙着治疗受伤的人，他没有时间去收集他们自己。 贸易商愿意为您提供急救绷带，以换取您为医生提供的援助聚会。 收集 10 个芦荟叶 + 10 个布片段 + 10 个绷带 ' 。","「交易員提到有需要食材的結算醫生才會急救繃帶，但他正忙著治療受傷的傷者，他沒有時間自行收集。 該貿易商願意為您提供急救繃帶，以換取您為醫生提供的協助聚會。 收集 10 個蘆薈葉 + 10 個布片段 + 10 個繃帶。」","El comerciante mencionó a un médico de acuerdo en la necesidad de ingredientes para hacer vendajes de primeros auxilios, pero está tan ocupado tratando a los heridos que no tiene tiempo para recogerlos él mismo. El comerciante está dispuesto a ofrecerle los primeros bandajes de ayuda a cambio de su reunión de asistencia suplanta para el médico. Reunir 10 hojas de aloe + 10 fragmentos de tela + 10 vendas."
quest_toc_gupta_statement,Quest,Quest Info,,,"Help your community and receive some first aid bandages as a thank you.",,"Hilf deiner Gemeinschaft und besorge ein paar Zutaten Erhalte dafür ein paar Erste Hilfe Verbände als Belohnung","Ajude sua comunidade e receba alguns curativos de primeiros socorros como um agradecimento'.","Aidez-vous de votre communauté et recevez des bandages de premiers soins pour vous remercier.","Aiutate la vostra comunità e ricevete alcuni primi banditi di aiuto come ringraziamento'.","「コミュニティーを支援し、お礼として最初の援助包帯を受け取ることができます。」","지역사회에 도움을 주고, 감사의 마음으로 1차 지원 붕대를 받으십시오.","Pomóż swojej społeczności i otrzymać kilka pierwszych bandażów jako podziękowania.","Ajude sua comunidade e receba alguns curativos de primeiros socorros como um agradecimento'.","Помогите своему сообществу и получите первые повязки в качестве благодарности'.","Topluluğunuza yardım edin ve size bir teşekkür olarak ilk yardım bandajları alın.","帮助您的社区，并接收一些急救绷带作为感谢 ' 。","「幫助你的社區，並獲得一些急救繃帶作為感謝。」","Ayude a su comunidad y reciba algunas primeras bandazos de ayuda como agradecimiento'."
quest_toc_gupta_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Gupta's Bandages",,"White River - Werkzeuge der Gemeinschaft quest für Gupta´s Erste Hilfe Verbände","Rio Branco-ferramentas de cidadania, busca por curativos de Gupta","White River-outils de citoyenneté, quête des bandages de Gupta","White River - strumenti di cittadinanza, quest per i banditi di Gupta","ホワイト・リバー - 市民権のツール、グプタの包帯のために","시민권의 화이트 강 도구, 굽타의 붕대에 대한 탐구","Biała rzeka-narzędzia obywatelskie, dążenie do bandaży Gupta","Rio Branco-ferramentas de cidadania, busca por curativos de Gupta","Белая река-инструменты гражданства, квест для гупты","Beyaz ırmak-vatandaşlık araçları, Gupta 'nın bandajlarını arayış.","白河 - 公民权工具，追求古普塔的绷带","「白河 - 公民權的工具，追求 Gupta的繃帶」","White River-tools of citizenship, quest for Gupta's bandages"
questdialog_toc_gupta,Quest,Dialogs,,,"Obtain first aid bandages by gathering 10 aloe leaves + 10 cloth fragments + 10 bandages",,"Erhalte Erste Hilfe Verbände für das Sammeln von je 10 x aloe Blätter / Stofffetzen und Verbänden","Obter curativos de primeiros socorros ao reunir 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos","Obtenir les bandages de premiers soins en rassemblant 10 feuilles d'aloès + 10 fragments de tissu + 10 bandages","Ottenere i banditi di pronto soccorso raccogliendo 10 foglie di aloe + 10 frammenti di tessuto + 10 fasce","「 10 個のアローの葉 + 10 個の布の破片 + 10 個の包帯を集めることにより、最初の援助","10개의 알로에 10개의 천 조각+10개의 붕대를 모으는 것을 통해 첫 번째 지원 붕대 얻기","Uzyskaj bandaże pierwszej pomocy, zbierając 10 liści aloesu + 10 fragmentów tkaniny + 10 bandaży","Obter curativos de primeiros socorros ao reunir 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos","Получить первую помощь с помощью сбора 10 алоэ листьев + 10 фрагментов + 10 повязки","10 adet aloe yaprağı toplayarak ilk yardım bandajlarını alın + 10 bez parça + 10 bandaj","通过收集 10 个芦荟叶 + 10 个布片 + 10 个绷带来获得急救绷带","「透過收集 10 個蘆薈葉 + 10 個布片段 + 10 個繃帶包紮，取得急救繃帶」","Obtener vendas de primeros auxilios reuniendo 10 hojas de aloe + 10 fragmentos de tela + 10 vendas"
questitem_toc_gupta_name,items,Item,,,"+Gupta's Bandages Quest",,"Guptas Verband quest","+ Gupta's bandages quest","+ Gupta's bandages quest","+ Gupta's bandages quest","+グプタの包帯クエスト","+굽타의 붕대 탐험","+ Gupta's bandages quest","+ Gupta's bandages quest","+ Gupta's bandages quest","+ Gupta 'nın bandaj arayışıdır","+格普塔的绷带","+Gupta 的繃帶探索","+ La búsqueda de bandajes de Gupta"
questitem_toc_gupta_desc,items,Item,,,"A quest to help restock the local doctor by obtaining 10 aloe leaves + 10 cloth fragments + 10 bandages. Receive specially crafted first aid bandages and a first aid kit as repayment.",,"Eine quest um dem Doktor vor Ort zu helfen das Lager aufzufüllen","Uma busca para ajudar a reabastecer o médico local obtendo 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos. Receba curativos de primeiros socorros especialmente artesanais e um kit de primeiros socorros como reembolso.","Une quête pour aider à repeupler le médecin local en obtenant 10 feuilles d'aloès + 10 fragments de tissu + 10 bandages. Recevez des bandages de premiers soins spécialement conçus et une trousse de premiers soins comme remboursement.","Una quest per aiutare a riaffermare il medico locale ottenendo 10 foglie di aloe + 10 frammenti di tessuto + 10 fasce. Ricevere banditi di pronto soccorso appositamente realizzati e un kit di pronto soccorso come rimborso '.","「 10 個のアロエの葉 + 10 個の布の断片 + 10 の包帯を手にして、地元の医師に手を入れるのを助けることができる。 特に、最初に支援された支援包帯と救急箱を返済として提供する」という。","10개의 알로에 10개의 천 조각+10개의 붕대를 획득함으로써 지역 의사를 재보충하기 위한 탐구. 특별히 제작한 응급 처치용 붕대와 1차 지원금을 상환으로 받는다.","Poszukiwanie pomocy miejscowego lekarza poprzez uzyskanie 10 liści aloesu + 10 fragmentów tkaniny + 10 bandażów. Otrzymuj specjalnie wykonane bandaże pierwszej pomocy i apteczkę pierwszej pomocy jako spłatę.","Uma busca para ajudar a reabastecer o médico local obtendo 10 folhas de aloe + 10 fragmentos de tecido + 10 curativos. Receba curativos de primeiros socorros especialmente artesanais e um kit de primeiros socorros como reembolso.","Стремление помочь восстановить местного врача путем получения 10 алоэ листьев + 10 фрагментов + 10 повязки. Получить специально сформированные первые повязки и аптечку, как погашение '.","10 adet aloe yaprağı + 10 adet bez parçası + 10 adet bandaj elde ederek yerel doktoru yeniden stoklamaya yardımcı olmak için bir arayış. Özel olarak işlenmiş ilk yardım bandajlarını ve bir ilk yardım kitini geri ödeme olarak alın.","通过获取 10 个芦荟叶 + 10 个布片段 + 10 个绷带来帮助恢复当地医生。 接收特制的急救绷带和急救箱作为还款。","通過獲取 10 個蘆薈葉 + 10 塊布條 + 10 個繃帶，尋求幫助重新施打當地醫生的努力。 接收特別精心製作的急救包和作為還款的急救包。」","Una búsqueda para ayudar a reabastecer al médico local obteniendo 10 hojas de aloe + 10 fragmentos de tela + 10 vendas. Reciba vendajes de primeros auxilios especialmente elaborados y un primer kit de ayuda como reembolso."
medicalGuptaFirstAidBandage,items,Item,,,"Gupta's First Aid Bandage",,"Guptas Erste Hilfe Verband","Bandage de primeiros socorros de Gupta","Gupta's first aid Bandage","Il primo soccorso di Gupta","Guptaの最初の支援のバンデージ","굽타의 첫 번째 원조 밴드","Gupta's first aid Bandage","Bandage de primeiros socorros de Gupta","Первая помощь Гупты","Gupta 'nın ilk yardım Bandajı","古普塔的急救班","古普塔的急救繃帶","Gupta's first aid Bandage"
