Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
vetquest_toc_pavlichenko_name,Quest,Quest Info,,,"Veteran Quest to obtain Pavlichenko Rifle Trigger Group",,"Veteran quest zum Erhalt des Pavlichenko Gewehrabzugs","Veterana quest para obter o grupo de disparos de fuzil Pavlichenko","Anciens combattants cherchant à obtenir le groupe de déclenchement de la carabine de Pavlitchenko","Veteran quest per ottenere il gruppo di innesco di fucile Pavlichenko","「パヴリチェンコ銃の引金グループを得るためにヴェテランは最も遅い」","Pavlichenko 소총의 방아쇠를 얻으려는 베테랑","Weteran dążenie do uzyskania Pavlichenko rifle spust grupy","Veterana quest para obter o grupo de disparos de fuzil Pavlichenko","Ветеран квест, чтобы получить винтовку Павличенко","Pavlichenko tüfek tetikleme grubu için usta bir arayış","老兵追求帕夫利琴科步枪触发群","退伍軍人要求獲得 Pavlicenko 步槍觸發組","La búsqueda de veteranos para obtener el grupo de disparo de rifle Pavlichenko"
vetquest_toc_pavlichenko_subtitle,Quest,Quest Info,,,"Obtain Pavlichenko rifle trigger group by gathering 5 lever-action rifles",,"Erhalte Pavlichenko´s Gewehrabzug. Sammle 5 Gewehre","Obter o grupo de disparos de fuzil Pavlichenko ao reunir 5 fuzis marksman","Obtenir le groupe de déclenchement de la carabine Pavlitchenko en rassemblant 5 carabines de tireurs d'élite","Ottenere il gruppo di trigger di fucile pavlichenko raccogliendo 5 fucili marcatori","Pavlichenko ライフル・トリガー・グループを取得するには、 5 つの射手ライフルを集め","파블리첸코 소총 1정 기폭제 확보","Uzyskaj grupę strzelców Pavlichenko, zbierając 5 karabinów strzelców","Obter o grupo de disparos de fuzil Pavlichenko ao reunir 5 fuzis marksman","Получите винтовку' Павличенко ', собрав 5 винтовок с снайперской винтовки","5 nişantaşı tüfeğini toplayarak Pavlichenko tüfek tetiği elde edin.","通过收集 5 支马克曼步枪获得 Pavlichenko 步枪扳机组","通過聚集 5 支步槍射手來獲得帕夫利琴科步槍的觸發群","Obtener grupo de gatillo de rifle Pavlichenko reuniendo 5 rifles de tirador"
vetquest_toc_pavlichenko_description,Quest,Quest Info,,,"Gather 5 lever-action rifles to obtain a Pavlichenko rifle trigger group.",,"Sammle 5 Gewehre um Pavlichenko´s Gewehrabzug zu erhalten","Reúnem 5 fuzis de lever-action para obter um grupo de disparos de fuzil Pavlichenko.","Rassembler 5 carabines de tireurs d'élite pour obtenir un groupe de déclencheurs de carabine de Pavlitchenko.","Raccogliere 5 fucili marcatori per ottenere un gruppo di trigger di fucile Pavlichenko'.","Pavlichenko ライフルのトリガグループを取得するために 5 人の狙撃銃を収集する","파블리첸코 소총 트리거 그룹을 얻기 위해 5명의 명사수들을 수집합니다.","Zebrać 5 karabinów strzeleckich, aby uzyskać grupę spustów strzelców Pavlichenko.","Reúnem 5 fuzis de lever-action para obter um grupo de disparos de fuzil Pavlichenko.","Соберите 5 винтовок для получения винтовки Павличенко'.","Pavlichenko tüfek tetikleme grubu almak için 5 lever-action tüfeği toplayın.","收集 5 支射击步枪以获得 Pavlichenko 步枪扳机组","收集 5 支射手步槍以獲得帕夫利琴科步槍的觸發群","Reunir 5 rifles de tirador para obtener un grupo de disparo de rifle Pavlichenko'."
vetquest_toc_pavlichenko_offer,Quest,Quest Info,,,"The trader has a stock of some parts to a Pavlichenko marksman rifle, but does not have all of the pieces. The trader can point you in the direction, but it is you who must walk the path. Turn in 5 lever-action rifles and receive a Pavlichenko rifle trigger group.",,"Der Händler hat ein ganzes Sortiment an Teilen für ein Pavlichenko Gewehr aber eben nicht alle. Besorge dem Händler 5 Gewehre und erhalte Pavlichenk´s Gewehrabzug'","O comerciante tem um estoque de algumas peças para um rifle de marcação Pavlichenko, mas não tem todas as peças. O comerciante pode apontar você na direção, mas é você quem deve andar pelo caminho. Vire em 5 fuzis de lever-action e receba um grupo de disparos de fuzil Pavlichenko.","Le commerçant a un stock de certaines pièces à un fusil de type Pavlitchenko, mais il n'a pas toutes les pièces. Le commerçant peut vous pointer dans la direction, mais c'est vous qui devez marcher sur le chemin. Allumez 5 carabines de tireurs d'élite et recevez un groupe de déclencheurs de carabiniers de Pavlitchenko.","Il commerciante ha uno stock di alcune parti di un fucile a marcatore Pavlichenko, ma non ha tutti i pezzi. Il commerciante può indicarti in direzione, ma sei tu che devi percorrere la strada. Girare in 5 fucili marcatori e ricevere un gruppo di trigger di fucile Pavlichenko '.","あるトレーダーは、「トレーダーらは、パヴリチェンコ・マーズマン・ライフルに部品の一部を保有しているが、これらの部品をすべて保有しているわけではない。 トレーダーはあなたを方向に指し示すことができますが、道を歩かなければならないのはあなたです。 5 人の射撃ライフルを入れ、パヴリチェンコ銃の引き金を受け取る。","이 상인은 파블리첸코 소총에 일부 부품의 재고를 보유하고 있지만, 모든 것을 보유하고 있지는 않습니다. 그 무역업자는 당신에게 방향을 제시할 수 있지만, 그 길을 걸어가야 하는 사람은 바로 당신입니다. 5명의 명사수 소총을 들고 파블리첸코 소총 방아군을 받습니다.","Przedsiębiorca ma zapas niektórych części do karabinu strzeleckiego Pavlichenko, ale nie ma wszystkich sztuk. Przedsiębiorca może wskazać na Ciebie w kierunku, ale to Ty musisz iść ścieżką. Skręcić w 5 karabinów strzelców i otrzymać strzelbę Pavlichenko strzelbę.","O comerciante tem um estoque de algumas peças para um rifle de marcação Pavlichenko, mas não tem todas as peças. O comerciante pode apontar você na direção, mas é você quem deve andar pelo caminho. Vire em 5 fuzis de lever-action e receba um grupo de disparos de fuzil Pavlichenko.","У трейдера есть запас некоторых частей винтовки' Павличенко марксман ', но не все куски. Трейдер может указать вам направление, но именно вы должны пройти путь. Включите 5 снайперских винтовок и получите винтовку 'Павличенко'.","Tüccar, Pavlichenko marka tüfekle bazı parçaları stokladı, ama bütün parçaları yok. Tüccar seni yönlendirebilir, ama yolda yürümesi gereken kişi sensin. 5 lever-action tüfeği ve bir Pavlichenko tüfek tetik grubu al.","该交易员对帕夫利琴科马克斯曼步枪有部分零件，但没有全部零件。 交易员可以向你指明方向，但你必须走这条路。 打开 5 支射击步枪，并接收一个 Pavlichenko 步枪扳机组。","交易員對 Pavlicenko 射手步槍有部分零部件的庫存，但沒有全部的碎片。 交易員可以向你指出方向，但你必須走這條路。 換 5 支機槍，並接收帕夫利琴科步槍觸發組。」","El comerciante tiene un stock de algunas partes en un rifle de tirador de Pavlichenko, pero no tiene todas las piezas. El comerciante puede apuntarlo en la dirección, pero es usted quien debe caminar por el camino. Encienda 5 rifles de tirador y reciba un grupo de disparo de rifle Pavlichenko '."
vetquest_toc_pavlichenko_statement,Quest,Quest Info,,,"Gather 5 lever-action rifles for your community and receive a Pavlichenko rifle trigger group",,"Sammle 5 Gewehre für die Gemeinschaft und erhalte eine Pavlichenko Gewehrabzug","Reúna 5 fuzis de lever-action para sua comunidade e receba um grupo de disparos de fuzil Pavlichenko","Rassembler 5 carabines de tireurs d'élite pour votre collectivité et recevoir un groupe de déclencheurs de carabiniers de Pavlitchenko","Raccogliere 5 fucili marcatori per la tua comunità e ricevere un gruppo di trigger di fucile Pavlichenko","あなたのコミュニティのために 5 つの射撃銃を集めパヴリチェンコ・ライフルのトリガグループを受けて","지역사회를 위해 5개의 명사수 소총을 수집하고 파블리첸코 소총 방아쇠 그룹을 받습니다.","Zebrać 5 karabinów strzelców dla swojej społeczności i otrzymać Pavlichenko rifle spust grupy","Reúna 5 fuzis de lever-action para sua comunidade e receba um grupo de disparos de fuzil Pavlichenko","Собрать снайперские винтовки для вашего сообщества и получить винтовку Павличенко","Topluluğunuz için 5 lever-action tüfeği toplayın ve Pavlichenko tüfek tetik grubu alın","为您的社区收集 5 支射击步枪，并接收 Pavlichenko 步枪扳机组","為你的社群收集 5 支射手步槍 ' ' Pavlicenko 步槍觸發組","Reúna 5 rifles de tirador para su comunidad y reciba un grupo de disparo de rifle Pavlichenko"
vetquest_toc_pavlichenko_group,Quest,Quest Info,,,"White River - Tools of Citizenship, Quest for Pavlichenko's Rifle",,"White River - Werkzeuge der Gemeinschaft quest für Pavlichenko´s Gewehr","Rio Branco-ferramentas de cidadania, busca do fuzil de Pavlichenko","White River-outils de citoyenneté, quête du fusil de Pavlitchenko","White River - strumenti di cittadinanza, quest per il fucile di Pavlichenko","白の河川 - 市民権のツール、パヴリチェンコのライフルを探っている","시민권의 화이트 강 도구, 파블리첸코 소총의 추구","Biała rzeka-narzędzia obywatelskie, dążenie do karabinu Pawlichenko","Rio Branco-ferramentas de cidadania, busca do fuzil de Pavlichenko","Белая река-инструменты гражданства, квест для винтовки Павличенко","Beyaz Nehir-vatandaşlık araçları, Pavlichenko 'nun tüfeğini bulma","白河 - 公民身份工具，寻找 Pavlichenko的步枪","白河 -- 公民身份的工具，對帕夫利琴科的來福槍的追求","White River-herramientas de ciudadanía, búsqueda del rifle de Pavlichenko"
vetquestdialog_toc_pavlichenko,Quest,Dialogs,,,"Obtain Pavlichenko's Trigger Group by gathering 5 lever-action rifles",,"Erhalte Pav´s Gewehrabzug nachdem du 5 Gewehre gesammelt hast","Obter grupo de disparos de Pavlichenko ao reunir 5 fuzis de lever-action","Obtenir le groupe de déclenchement de Pavlitchenko en rassemblant 5 carabines de tireurs d'élite","Ottenere il gruppo di trigger di Pavlichenko raccogliendo 5 fucili marcatori","「 5 人の射手銃を集め、パヴリチェンコのトリガグループを取得する」","파블리첸코의 방아쇠는 5명의 사수용 소총을 모으고 있다.","Uzyskaj grupę spustową Pavlichenko, zbierając 5 karabinów strzelców","Obter grupo de disparos de Pavlichenko ao reunir 5 fuzis de lever-action","Получить группу триггеров Павличенко, собрав 5 винтовок с марксменом","Pavlichenko 'nun tetik grubunu 5 lever-action tüfeği toplayarak alın.","通过收集 5 支马克曼步枪来获取 Pavlichenko 的触发群","通過收集 5 支射手步槍，獲得帕夫利琴科的觸發群","Obtener el grupo de gatillo de Pavlichenko reuniendo 5 rifles de tirador"
vetquestreward_toc_pavlichenko_name,Quest,Quest Info,,,"Reward of a Pavlichenko Rifle Trigger Group",,"Belohnung für Pav´s Gewehrabzug","Recompensa de um grupo de disparos de fuzil Pavlichenko","Récompenser un groupe de déclencheurs de carabine de Pavlitchenko","Ricompensa di un gruppo di trigger di fucile Pavlichenko","Pavlichenko ライフル・トリガー・グループのリワード","Pavlichenko 소총의 방아쇠를 제거하다.","Nagroda grupy spustów karabinów Pavlichenko","Recompensa de um grupo de disparos de fuzil Pavlichenko","Награда винтовки' Павличенко","Bir Pavlichenko tüfeği tetikleme grubunun ödülü","对 Pavlichenko 步枪触发器组的奖励","被帕夫利琴科步槍觸發群的獎賞","Recompensa de un grupo desencadenante de rifle Pavlichenko"
vetquestreward_toc_pavlichenko_subtitle,Quest,Quest Info,,,"Obtain a Pavlichenko Rifle Trigger Group by returning to the trader",,"Gehe zurück zum Händler und erhalte Pav´s Gewehrabzug","Obter um grupo de disparos de fuzil Pavlichenko ao voltar para o comerciante","Obtenir un groupe de déclenchement de la carabine de Pavlitchenko en revenant à l'opérateur","Ottenere un gruppo di trigger di fucile Pavlichenko tornando al commerciante","トレーダーに戻ることにより、 Pavlichenko ライフル・トリガー・グループを取得する","Pavlichenko 소총의 트리거 그룹을 얻다.","Uzyskaj grupę spustową Pavlichenko, zwracając się do przedsiębiorcy","Obter um grupo de disparos de fuzil Pavlichenko ao voltar para o comerciante","Получить группу триггерных винтовок Павличенко, вернувшись к трейдеру","Bir Pavlichenko tüfek tetikleyicisi elde etmek için ...' ... tüccar tarafından ...","向交易者返回 Pavlichenko 步枪触发群","通過回到交易者獲取 Pavlichanko 步槍的觸發群","Obtener un grupo de disparo de rifle Pavlichenko volviendo al comerciante"
vetquestreward_toc_pavlichenko_description,Quest,Quest Info,,,"Return to the trader to collect the trigger group for you Pavlichenko marksman rifle.",,"Kehre zum Händler zurück und erhalte Pav´s Gewehrabzug","Retorne ao comerciante para coletar o grupo de disparos para você Pavlichenko marksman rifle.","Retour à l'opérateur pour recueillir le groupe de gâchette pour vous le fusil Pavlitchenko.","Torna al commerciante per raccogliere il gruppo di trigger per te Pavlichenko marksman rifle'.","トレーダーに戻りパヴリチェンコ・マーズマン・ライフルの引き金グループを集める","파블리첸코 라이플 소총의 트리거 그룹을 수집하기 위해 트레이더에게 돌아가십시오.","Powrót do handlowca, aby zebrać grupę spustową dla ciebie Pavlichenko strzelby strzelby.","Retorne ao comerciante para coletar o grupo de disparos para você Pavlichenko marksman rifle.","Вернуться к трейдеру, чтобы собрать группу триггеров для винтовки Павличенко Марксман'.","Seni Pavlichenko tüfeğini almak için tüccara geri dönsün.","返回到交易者收集 Pavlichenko Marksman 步枪的触发器组。","回到商人去為你的 Pavlicenko 射手步槍收集觸發群","Regrese al comerciante para recoger el grupo de gatillo para su rifle de tirador Pavlichenko'."
