Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
zombieAll,entityclasses,Entity,,,"All Zombies",,,,,,,,,,,,,,
itemToC_DeclarationDesc,items,Item,,,"White River Tools of Citizenship\n\nDeclaration of Citizenship\n\nUsed to begin the quest to obtain your own Citizen's Card from killing 10 Zombies.",,,,,,,,,,,,,,
itemToC_CitizenDesc,items,Item,,,"White River Citizen's Card\n\nUsed to prove your membership into the settlement and obtain settlement quests.",,,,,,,,,,,,,,
itemToC_Citizen100Desc,items,Item,,,"A quest to kill 100 zombies in exchange for a White River settlement Veterans Citizen card.",,,,,,,,,,,,,,
itemToC_VeteranDesc,items,Item,,,"White River Veteran Vitizen's Card\n\nUsed to prove your veteran membership into the settlement and obtain settlement veteran quests.",,,,,,,,,,,,,,
questToC_whiteRiverCitizen,Quest,Quest Info,,,"Become a White River Citizen",,,,,,,,,,,,,,
questToC_whiteRiverCitizen2_offer,Quest,Quest Info,,,"They are watching. Declare your citizenship with White River settlements by crafting a +Declaration Of Citizenship. Use your +Declaration of Citizenship to start the quest to obtain your +White River Citizen Card. Your citizen's card can be used as an ingredient to craft quest-starter items for White River citizen quests.",,,,,,,,,,,,,,
questToC_whiteRiverCitizen2_name,Quest,Quest Info,,,"Declare your citizenship to White River",,,,,,,,,,,,,,
questToC_whiteRiverCitizen2_subtitle,Quest,Quest Info,,,"Declare your citizenship to White River",,,,,,,,,,,,,,
questToC_whiteRiverCitizen2_desc,Quest,Quest Info,,,"Declare your intention to join the White River settlement by crafting a +Declaration of Citizenship",,,,,,,,,,,,,,
questToC_whiteRiverCitizen3_offer,Quest,Quest Info,,,"If it were your reanimated corpse, wouldn't you want a mercy kill? Become a White River Citizen by helping lay to rest 10 of our old residents. This will grant you a +White River Citizen Card which can be used as an ingredient to craft quest-starting items. Choose carefully, as your citizen card is held from you while you work to complete your quest, and it is returned to you on successful completion. You can craft a new +Declaration of Citizenship at any time.",,,,,,,,,,,,,,
questToC_whiteRiverCitizen3_name,Quest,Quest Info,,,"Put 10 fallen citizens to rest",,,,,,,,,,,,,,
questToC_whiteRiverCitizen3_subtitle,Quest,Quest Info,,,"Put 10 fallen citizens to rest",,,,,,,,,,,,,,
questToC_whiteRiverCitizen3_desc,Quest,Quest Info,,,"Help lay to rest 10 old settlers and prove your worth to become",,,,,,,,,,,,,,
questToC_whiteRiver100Z_offer,Quest,Quest Info,,,"White River settlements has a few veteran citizens cards left, to those with an extra qualification. Help to make the settlement safer through ridding the area of 100 zombies, and you can earn one of these highly sought-after veterans cards. This opens the door to allow you to pursue higher quality tools and equipment with the settlement.",,,,,,,,,,,,,,
questToC_whiteRiver100Z_name,Quest,Quest Info,,,"Prove your worth as a veteran citizen",,,,,,,,,,,,,,
questToC_whiteRiver100Z_subtitle,Quest,Quest Info,,,"Prove your worth as a veteran citizen",,,,,,,,,,,,,,
questToC_whiteRiver100Z_desc,Quest,Quest Info,,,"Prove your worth to the White River settlement by helping to clear the land of 100 zombies.",,,,,,,,,,,,,,
blockToC_sealedCitizenCrateDesc,blocks,Block,,,"A sealed crate of goods reserved for the citizens of White River.",,,,,,,,,,,,,,
