Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
quest_tools_of_citizenship_name,Quest,Quest Info,,,"Declare your citizenship to White River",,"Erkläre deine Mitgliedschaft zu White River","Declare sua cidadania para Rio Branco","Déclarez votre citoyenneté à White River","Dichiarare la tua cittadinanza al fiume Bianco","あなたの市民権をホワイト・リバーに宣言","당신의 시민권을 화이트 강으로 선언하다.","Zadeklaruj swoje obywatelstwo Białej Rzeki","Declare sua cidadania para Rio Branco","Объявить свое гражданство Белой Ривер","Vatandaşlığını Beyaz Nehir 'e bildirin.","宣布您的公民身份到白河","把你的公民身份宣告給白河","Declare su ciudadanía a White River"
quest_tools_of_citizenship_subtitle,Quest,Quest Info,,,"Declare your citizenship to White River",,"Erkläre deine Mitgliedschaft zu White River","Declare sua cidadania para Rio Branco","Déclarez votre citoyenneté à White River","Dichiarare la tua cittadinanza al fiume Bianco","あなたの市民権をホワイト・リバーに宣言","당신의 시민권을 화이트 강으로 선언하다.","Zadeklaruj swoje obywatelstwo Białej Rzeki","Declare sua cidadania para Rio Branco","Объявить свое гражданство Белой Ривер","Vatandaşlığını Beyaz Nehir 'e bildirin.","宣布您的公民身份到白河","把你的公民身份宣告給白河","Declare su ciudadanía a White River"
questitem_toc_declaration_name,items,Quest - Note,,,"+Declaration of Citizenship",,"+Erklärung der Mitgliedschaft","+ Declaração de cidadania","+ Déclaration de citoyenneté","+ Dichiarazione di cittadinanza","+ 市民権の宣言","+시민권 선언","+ Deklaracja obywatelstwa","+ Declaração de cidadania","+ Декларация о гражданстве","+ vatandaşlık bildirimi","+申报公民身份","+ 宣告公民身份","+ Declaración de ciudadanía"
questitem_toc_declaration_description,items,Quest - Note,,,"White River Tools of Citizenship\n\nDeclaration of citizenship\n\nUsed to start initiate level quests to help you prove your worth as a citizen.",,"White River - Werkzeuge der Gemeinschaft - Erklärung zur Mitgliedschaft. Starte die Quest um die Mitgliedschaft-Karte zu erhalten. Töte 10 zombies","Ferramentas do Rio Branco de cidadania \n \nDeclaração de cidadania \n \nUsado para começar a busca de obter o seu próprio cartão de cidadão de matar 10 zombies'.","Les outils de la citoyenneté de la rivière White \n \nDeclaration of citoyenneté \n \nUsed to begin the quest to obtention your own citoyenne's card from killing 10 zombies.","Strumenti del fiume bianco di cittadinanza \n \nDichiarazione di cittadinanza \n \nUtilizzato per iniziare la quest per ottenere la tessera del proprio cittadino dall'uccisione di 10 zombie'.","「市民権のホワイト・リバー・ツール \n\nDeclaration of 市民権\n」は、「 10 個のゾンビを殺すことで、あなた自身の市民のカードを取得するためのクエストを開始するために使用されます。」","시민권의 화이트 강의 도구 \n \n선언은 10개의 좀비를 죽이는 것에서 자신의 시민의 카드를 획득하기 위한 퀘스트를 시작하는데 사용됩니다.","White River tools of obywatelstwo \n \nDeklaracja obywatelstwa \n \nUsed to begin the quest to uzyskania własnego obywatela karty od zabijania 10 zombies.","Ferramentas do Rio Branco de cidadania \n \nDeclaração de cidadania \n \nUsado para começar a busca de obter o seu próprio cartão de cidadão de matar 10 zombies'.","Белые речные инструменты гражданства \n \nОбъявление о гражданстве \n \nиспользуется для того, чтобы начать поиски, чтобы получить карточку вашего гражданина от убийства 10 зомби'.","White River vatandaşlık araçları \n \nvatandaşlık bildirimi \n \nKendi vatandaşımın kartını 10 zombi öldürmekten elde etme arayışlarına başlamaya başladı.","White River 入籍工具 \n \n 公民权宣言 \n\n 用于开始寻求获得您自己的公民卡，从而杀死 10 个僵尸。","白河公民身份工具 \n\n \n \n \n \nUsed to begin the quest to cegin the own cio 's card from c殺戮 10 殭屍 ' 。","Herramientas del Río Blanco de la ciudadanía \n \nDeclaración de ciudadanía \n \nSe utiliza para comenzar la búsqueda de obtener la tarjeta de su propio ciudadano de matar a 10 zombies'."
questitem_toc_citizencard_name,items,Quest - Note,,,"+White River Citizen Card",,"+White River Mitgliedschaft-Karte","+ Cartão de cidadão Rio Branco","Carte de citoyen de la rivière White","+ Carta cittadino del fiume Bianco","+ホワイト・リバー市民カード","+화이트강 시민증","+ Biała karta obywatela rzeki","+ Cartão de cidadão Rio Branco","+ Карта гражданина Белой реки","+ Beyaz River vatandaş kartı","+白河市民卡","「 +白河公民卡」","+ Tarjeta ciudadana del Río Blanco"
questitem_toc_citizencard_description,items,Quest - Note,,,"White River citizen's card\n\nUsed to prove your membership into the settlement and obtain settlement quests.",,"White River  Mitgliedschaft-Karte. Beweise deine Mitgliedschaft zur Gemeinschaft und erhalte Siedlungs-Quests","Cartão de cidadão do Rio Branco \n \nUtilizado para provar sua filiação ao assentamento e obter questes de assentamento.","Carte du citoyen de White River \n \nUsed pour prouver votre appartenance à l'établissement et obtenir des quêtes de règlement.","Scheda del cittadino del fiume bianco \n \nUtilizzato per dimostrare la vostra appartenenza all'insediamento e ottenere le missioni di insediamento'.","「ホワイト・リバー市民のカード\n\n 入植地へのメンバーシップを証明し、決済クエストを取得するために使用します。」","화이트 리버 시민의 카드 \n\- 결산에 귀하의 회원 자격을 증명하고, 정착지를 획득하는 데 사용됩니다.","Legitymacja obywatelska White River \n \nWykorzystane do udowodnienia członkostwa w osadzie i uzyskania questów osadowych.","Cartão de cidadão do Rio Branco \n \nUtilizado para provar sua filiação ao assentamento e obter questes de assentamento.","Удостоверение гражданина Белой Ривер \n \nиспользуется для доказательства вашего членства в поселении и получения разрешения на строительство'.","White River vatandaşının kartı, \n \nAnlaşmada üyeliğinizi kanıtlamaya ve yerleşim kuyruklarınızı elde etmek için kullanılır.","白河公民卡\n \n 用于证明您的成员资格，并获取结算任务。","「白河市民的卡片\n\n \n \nUsed ，證明您的會員資格，並取得結算遺贈。」","Tarjeta del ciudadano del Río Blanco \n \nSe utiliza para probar su pertenencia a la liquidación y obtener misiones de liquidación."
questitem_toc_veterancard_name,items,Quest - Note,,,"+White River Veteran Citizen Card",,"Halte dein Wort und töte 100 zombies. Im Tausch wirst du die veteran Mitgliedschaft-Karte erhalten. Diese schaltet weitere Quests für dich frei","+ Cartão de cidadão veterano do Rio Branco","Carte de citoyen de la rivière White","+ White River veteran citizen card","+ホワイト・リバーのベテリーカード","+화이트 강의 노장 시민 카드","+ White River weteran karty obywatelskiej","+ Cartão de cidadão veterano do Rio Branco","Удостоверение ветерана Белой реки","+ Beyaz River gazi vatandaş kartı","+白河老牌市民卡","+白河老牌公民卡","+ Tarjeta ciudadana veterana del Río Blanco"
questitem_toc_veterancard_description,items,Quest - Note,,,"White River veteran citizen's card\n\nUsed to prove your veteran membership into the settlement and obtain settlement veteran quests.",,"White River Mitgliedschaft-Karte zum Beweis deiner veteranen Mitgliedschaft und zur Freischaltung von veteranen Quests.","Cartão de cidadão veterano do Rio Branco \n \nUsado para provar sua adesão de veterano no assentamento e obter questes veteranos de assentamento.","Carte de citoyen de longue date de White River \n \nUsed pour prouver votre appartenance à un ancien combattant et obtenir des quêtes d'anciens combattants.","White River veteran citizen's card \n \nUtilizzato per dimostrare la tua appartenenza veterana all'insediamento e ottenere i veterani di insediamento'.","「ホワイト・リバーのベテラン市民カード\n\n 入植地への退役軍人資格を証明し、定住者のクエストを得るために使用します。」","화이트 강의 베테랑 시민의 카드 \n \nUse 는 당신의 노장 멤버십을 결산하고 정착의 베테랑 퀘스트를 획득하는 데 사용됩니다.","Biała legitymacja obywatelska, karta obywatelska, której celem jest udowodnienie członkowi weteranów w osadzie i zdobycie weteranów osiedla.","Cartão de cidadão veterano do Rio Branco \n \nUsado para provar sua adesão de veterano no assentamento e obter questes veteranos de assentamento.","Удостоверение ветерана Белой Ривер \n \nиспользуется для доказательства членства вашего ветерана в поселении и получения ветеранских квестов'.","Beyaz nehir gazisi vatandaşıdır. \n \nGazi üyeliğinizi kanıtlamaya ve uzlaşma gazileri elde etmek için kullanılır.","白河老牌公民卡\n \n 用于证明您的退伍军人身份，并获得结算退伍军人任务。","白河老翁公民卡\n\n \nUsed 證明您的資深會員加入和解，獲得定居老兵的遺贈。","Tarjeta ciudadana del veterano del Río Blanco \n \nSe utiliza para probar su membresía veterana en el asentamiento y obtener misiones veteranas de los asentamientos'."
questitem_toc_elitecard_name,items,Quest - Note,,,"+White River Elite Citizen Card",,"+White River elite Mitgliedschaft-Karte","+ Cartão de cidadão de elite do Rio Branco","Carte de citoyen d'élite de la rivière White","+ White River elite citizen card","+ホワイト・リバー・エリート市民カード","+하얀 강 엘리트 시민 카드","+ White River elitarny obywatel karty","+ Cartão de cidadão de elite do Rio Branco","Элитная карта' + 'Белая река","+ Beyaz River elit vatandaş kartı","+白河精英市民卡","「 +白河菁英公民卡」","+ Tarjeta ciudadana de élite del Río Blanco"
questitem_toc_elitecard_description,items,Quest - Note,,,"White River elite citizen's card\n\nUsed to prove your elite membership into the settlement and obtain settlement elite quests.",,"White River elite Mitgliedschaft-Karte als Beweis für deine elite Mitgliedschaft","Cartão de cidadão de elite do Rio Branco \n \nUsado para provar sua adesão de elite ao assentamento e obter questes de elite de assentamento.","Carte de citoyen d'élite de White River \n \nUsed pour prouver votre appartenance à l'élite dans la colonie et obtenir des quêtes d'élite de l'établissement.","White River elite citizen's card \n \nUtilizzato per dimostrare la tua élite d'élite all'insediamento e ottenere le conquiste d'élite di insediamento'.","「ホワイト・リバーのエリート市民のカード\n。エリート・メンバーシップを証明し、入植地の精鋭のクエストを取得するために使用します。」","백인 강 엘리트 시민의 카드 \n \nUse 는 당신의 엘리트 멤버십을 결산하고 정착 엘리트들의 퀘스트를 획득하는데 사용됩니다.","Biała elity obywatela karty obywatela \n \nUsed, aby udowodnić swoją elitarną członkostwo w rozliczenia i uzyskać rozliczenia elitarne questy.","Cartão de cidadão de elite do Rio Branco \n \nUsado para provar sua adesão de elite ao assentamento e obter questes de elite de assentamento.","Карта элитного гражданина Белой Ривер \n \nиспользуется для подтверждения членства в поселении и получения элитных квестов'.","White River elite vatandaşının kartı. \n \nSeçkin üyeliğinizi kanıtlamaya ve yerleşim yerine yerleşen elit kuyruklarınızı elde etmek için kullanılır.","白河精英公民卡\n\n 用于证明您的精英成员加入和解，获得和解精英协议。","白河精英公民卡\n\nUsed 以證明你的精英會員加入和解，獲得結算精英的遺贈 ' 。","Tarjeta ciudadana de élite del Río Blanco \n \nSe utiliza para demostrar su pertenencia de élite al asentamiento y obtener misiones de élite de asentamientos'."
